Time [s],Value,Parity Error,Framing Error
0.443466000000000,0x00,,Error
0.443478500000000,0x14,,Error
0.443491500000000,0xAA,,Error
0.443505000000000,0x00,,Error
0.443517500000000,0x00,,Error
0.443530000000000,0x00,,Error
0.443543000000000,0xFD,,
0.443555000000000,0x00,,Error
0.443569000000000,0x00,,Error
0.443582000000000,0x55,,
0.443594000000000,0x00,,Error
0.443678000000000,0xAA,,
0.443690500000000,0x00,,
0.443703500000000,0x00,,
0.443716000000000,0x00,,
0.443728500000000,0x00,,
0.443741000000000,0x00,,
0.443753500000000,0x00,,
0.443766000000000,0x00,,
0.443778500000000,0x00,,
0.443791000000000,0x0F,,
0.443803500000000,0x00,,
0.443816000000000,0x0F,,
0.443828500000000,0x00,,
0.443841000000000,0x0F,,
0.443854000000000,0x00,,
0.443866500000000,0x0F,,
0.443879000000000,0x00,,
0.443891500000000,0xFF,,
0.443904000000000,0xFF,,
0.443916500000000,0xFF,,
0.443929000000000,0xFF,,
0.443941500000000,0xFF,,
0.443954000000000,0xFF,,
0.443966500000000,0xFF,,
0.443979000000000,0xFF,,
0.443991500000000,0xFF,,
0.444004500000000,0xFF,,
0.444017000000000,0xFF,,
0.444029500000000,0xFF,,
0.444042000000000,0xFF,,
0.444054500000000,0xFF,,
0.444067000000000,0xFF,,
0.444079500000000,0xFF,,
0.444092000000000,0xFF,,
0.444104500000000,0xFF,,
0.444117000000000,0xFF,,
0.444129500000000,0xFF,,
0.444142000000000,0xFF,,
0.444155000000000,0xFF,,
0.444167500000000,0xFF,,
0.444180000000000,0xFF,,
0.444192500000000,0xFF,,
0.444205000000000,0xFF,,
0.444217500000000,0xFF,,
0.444230000000000,0xFF,,
0.444242500000000,0xFF,,
0.444255000000000,0xFF,,
0.444267500000000,0xFF,,
0.444280000000000,0xFF,,
0.444292500000000,0xFF,,
0.444305500000000,0xFF,,
0.444318000000000,0xFF,,
0.444330500000000,0xFF,,
0.444343000000000,0xFF,,
0.444355500000000,0xFF,,
0.444368000000000,0xFF,,
0.444380500000000,0xFF,,
0.444393000000000,0x00,,Error
0.467409500000000,0x75,,
0.467421500000000,0x00,,Error
0.467434000000000,0x00,,Error
0.467446500000000,0x01,,Error
0.467459000000000,0x00,,
0.467471000000000,0x55,,
0.467483000000000,0x00,,Error
0.467495500000000,0x00,,Error
0.467508500000000,0x55,,
0.467520500000000,0x40,,
0.467533000000000,0x00,,Error
0.467547000000000,0x00,,Error
0.491367500000000,0xAA,,Error
0.491381000000000,0x00,,Error
0.491393500000000,0x00,,Error
0.491406000000000,0x00,,Error
